code,description,manufacturer,car_type,category,common_cause,fix_tip
P0075,Intake Valve Control Solenoid Circuit Bank 1,Toyota,Toyota VVT-i Models,Electrical,Intake VVT solenoid wiring fault,Check intake VVT solenoid wiring
P0076,Intake Valve Control Solenoid Circuit Low Bank 1,Toyota,Toyota VVT-i Models,Electrical,Intake VVT solenoid short to ground,Check intake VVT wiring for shorts
P0077,Intake Valve Control Solenoid Circuit High Bank 1,Toyota,Toyota VVT-i Models,Electrical,Intake VVT solenoid short to battery,Check intake VVT wiring for power short
P0078,Exhaust Valve Control Solenoid Circuit Bank 1,Toyota,Toyota VVT-iE Models,Electrical,Exhaust VVT solenoid wiring fault,Check exhaust VVT solenoid wiring
P0079,Exhaust Valve Control Solenoid Circuit Low Bank 1,Toyota,Toyota VVT-iE Models,Electrical,Exhaust VVT solenoid short to ground,Check exhaust VVT wiring
P0080,Exhaust Valve Control Solenoid Circuit High Bank 1,Toyota,Toyota VVT-iE Models,Electrical,Exhaust VVT solenoid short to battery,Check exhaust VVT wiring harness
P0087,Fuel Rail/System Pressure Too Low,Toyota,Toyota Diesel/Hybrid Models,Mechanical,Weak fuel pump or clogged filter,Replace fuel filter
P0088,Fuel Rail/System Pressure Too High,Toyota,Toyota Diesel/Hybrid Models,Mechanical,Faulty fuel pressure regulator,Replace fuel pressure regulatorP0089
P0090,Fuel Pressure Regulator Control Circuit,Toyota,Toyota All Models,Electrical,Regulator control wiring fault,Check regulator control wiring
P0091,Fuel Pressure Regulator Control Circuit Low,Toyota,Toyota All Models,Electrical,Regulator control short to ground,Check regulator control wiring for shorts
P0092,Fuel Pressure Regulator Control Circuit High,Toyota,Toyota All Models,Electrical,Regulator control short to battery,Check regulator control wiring for power short
P0093,Fuel System Leak Detected Large Leak,Toyota,Toyota All Models,Mechanical,Fuel line leak or injector seal leak,Inspect fuel lines and injector seals
P0094,Fuel System Leak Detected Small Leak,Toyota,Toyota All Models,Mechanical,Small fuel vapor leak,Smoke test fuel system
P0095,Intake Air Temperature Sensor 2 Circuit,Toyota,Toyota All Models,Electrical,IAT2 sensor wiring fault,Check IAT2 sensor connector
P0096,Intake Air Temperature Sensor 2 Range/Performance,Toyota,Toyota All Models,Electrical,IAT2 sensor out of range,Replace IAT2 sensor
P0097,Intake Air Temperature Sensor 2 Circuit Low,Toyota,Toyota All Models,Electrical,IAT2 wiring short to ground,Check IAT2 wiring for shorts
P0098,Intake Air Temperature Sensor 2 Circuit High,Toyota,Toyota All Models,Electrical,IAT2 wiring open or short to battery,Check IAT2 wiring harness
P0099,Intake Air Temperature Sensor 2 Intermittent,Toyota,Toyota All Models,Electrical,IAT2 loose connection,Secure IAT2 sensor connector
P0100,Mass Air Flow Circuit Malfunction,Hyundai,Hyundai Accent/Atos,Electrical,MAF sensor dirty or wiring fault,Clean MAF with electronics cleaner
P0101,Mass Air Flow Circuit Range/Performance,Hyundai,Hyundai Accent/Atos,Electrical,Dirty MAF or vacuum leak,Clean MAF sensor
P0102,Mass Air Flow Circuit Low Input,Hyundai,Hyundai Accent/Atos,Electrical,MAF wiring damaged or disconnected,Check MAF connector and wiring harness
P0103,Mass Air Flow Circuit High Input,Hyundai,Hyundai Accent/Atos,Electrical,MAF sensor shorted or faulty,Test MAF voltage
P0105,Manifold Absolute Pressure Circuit Malfunction,Hyundai,Hyundai Accent/Atos,Electrical,MAP sensor fault or wiring issue,Test MAP sensor voltage
P0106,Manifold Absolute Pressure Range/Performance,Hyundai,Hyundai Accent/Atos,Electrical,MAP sensor out of range or vacuum leak,Check for vacuum leaks
P0107,Manifold Absolute Pressure Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,MAP wiring short to ground,Check MAP sensor wiring for shorts
P0108,Manifold Absolute Pressure Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,MAP wiring open or short to battery,Check MAP sensor wiring harness
P0110,Intake Air Temperature Sensor Circuit,Hyundai,Hyundai Accent/Atos,Electrical,IAT sensor wiring fault,Check IAT sensor connector
P0111,Intake Air Temperature Sensor Range/Performance,Hyundai,Hyundai Accent/Atos,Electrical,IAT sensor out of range,Replace IAT sensor
P0112,Intake Air Temperature Sensor Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,IAT wiring short to ground,Check IAT wiring for shorts
P0113,Intake Air Temperature Sensor Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,IAT wiring open or short to battery,Check IAT wiring harness
P0115,Engine Coolant Temperature Circuit Malfunction,Hyundai,Hyundai Accent/Atos,Electrical,ECT sensor fault or wiring issue,Test ECT sensor resistance
P0116,Engine Coolant Temperature Range/Performance,Hyundai,Hyundai Accent/Atos,Mechanical,Thermostat stuck or ECT sensor drift,Replace thermostat
P0117,Engine Coolant Temperature Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,ECT sensor shorted or wiring short,Replace ECT sensor
P0118,Engine Coolant Temperature Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,ECT sensor open circuit or wiring open,Replace ECT sensor
P0120,Throttle Position Sensor Circuit Malfunction,Hyundai,Hyundai Accent/Atos,Electrical,TPS sensor fault or wiring issue,Test TPS voltage sweep
P0121,Throttle Position Sensor Range/Performance,Hyundai,Hyundai Accent/Atos,Electrical,TPS out of range or dirty throttle body,Clean throttle body
P0122,Throttle Position Sensor Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,TPS wiring short to ground,Check TPS wiring for shorts
P0123,Throttle Position Sensor Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,TPS wiring open or short to battery,Check TPS wiring harness
P0125,Insufficient Coolant Temperature For Closed Loop,Hyundai,Hyundai Accent/Atos,Mechanical,Thermostat stuck open or ECT sensor fault,Replace thermostat
P0130,O2 Sensor Circuit Malfunction Bank 1 Sensor 1,Hyundai,Hyundai Accent/Atos,Electrical,Upstream O2 sensor faulty,Replace upstream oxygen sensor
P0131,O2 Sensor Circuit Low Voltage Bank 1 Sensor 1,Hyundai,Hyundai Accent/Atos,Electrical,Fuel lean or O2 sensor faulty,Check for vacuum leaks
P0132,O2 Sensor Circuit High Voltage Bank 1 Sensor 1,Hyundai,Hyundai Accent/Atos,Electrical,Fuel rich or O2 sensor faulty,Check fuel pressure
P0133,O2 Sensor Circuit Slow Response Bank 1 Sensor 1,Hyundai,Hyundai Accent/Atos,Electrical,Aged O2 sensor or exhaust leak,Replace upstream O2 sensor
P0134,O2 Sensor Circuit No Activity Bank 1 Sensor 1,Hyundai,Hyundai Accent/Atos,Electrical,O2 sensor heater or wiring fault,Check O2 sensor heater circuit
P0135,O2 Sensor Heater Circuit Malfunction Bank 1 Sensor 1,Hyundai,Hyundai Accent/Atos,Electrical,O2 sensor heater circuit fault,Replace upstream O2 sensor
P0136,O2 Sensor Circuit Malfunction Bank 1 Sensor 2,Hyundai,Hyundai Accent/Atos,Electrical,Downstream O2 sensor faulty,Replace downstream oxygen sensor
P0137,O2 Sensor Circuit Low Voltage Bank 1 Sensor 2,Hyundai,Hyundai Accent/Atos,Electrical,Catalyst efficiency issue or O2 fault,Check catalytic converter
P0138,O2 Sensor Circuit High Voltage Bank 1 Sensor 2,Hyundai,Hyundai Accent/Atos,Electrical,Fuel rich condition or O2 fault,Check fuel trim
P0140,O2 Sensor Circuit No Activity Bank 1 Sensor 2,Hyundai,Hyundai Accent/Atos,Electrical,Downstream O2 heater or wiring fault,Check downstream O2 heater circuit
P0141,O2 Sensor Heater Circuit Malfunction Bank 1 Sensor 2,Hyundai,Hyundai Accent/Atos,Electrical,Downstream O2 heater fault,Replace downstream O2 sensor
P0150,O2 Sensor Circuit Malfunction Bank 2 Sensor 1,Hyundai,Hyundai V6 Models,Electrical,Bank 2 upstream O2 sensor faulty,Replace bank 2 upstream O2 sensor
P0151,O2 Sensor Circuit Low Voltage Bank 2 Sensor 1,Hyundai,Hyundai V6 Models,Electrical,Bank 2 fuel lean or O2 fault,Check bank 2 for vacuum leaks
P0152,O2 Sensor Circuit High Voltage Bank 2 Sensor 1,Hyundai,Hyundai V6 Models,Electrical,Bank 2 fuel rich or O2 fault,Check bank 2 fuel delivery
P0153,O2 Sensor Circuit Slow Response Bank 2 Sensor 1,Hyundai,Hyundai V6 Models,Electrical,Bank 2 aged O2 sensor,Replace bank 2 upstream O2 sensor
P0154,O2 Sensor Circuit No Activity Bank 2 Sensor 1,Hyundai,Hyundai V6 Models,Electrical,Bank 2 O2 heater or wiring fault,Check bank 2 O2 heater circuit
P0155,O2 Sensor Heater Circuit Malfunction Bank 2 Sensor 1,Hyundai,Hyundai V6 Models,Electrical,Bank 2 O2 heater fault,Replace bank 2 upstream O2 sensor
P0160,O2 Sensor Circuit No Activity Bank 2 Sensor 2,Hyundai,Hyundai V6 Models,Electrical,Bank 2 downstream O2 fault,Check bank 2 downstream O2 circuitP0170
P0171,System Too Lean Bank 1,Hyundai,Hyundai Accent/Atos,Mechanical,Vacuum leak or weak fuel pump,Smoke test intake
P0172,System Too Rich Bank 1,Hyundai,Hyundai Accent/Atos,Mechanical,Clogged air filter or faulty MAF,Replace air filter
P0173,Fuel Trim Malfunction Bank 2,Hyundai,Hyundai V6 Models,Mechanical,Bank 2 vacuum leak or fuel issue,Check bank 2 intake for leaks
P0174,System Too Lean Bank 2,Hyundai,Hyundai V6 Models,Mechanical,Bank 2 vacuum leak,Smoke test bank 2 intake
P0175,System Too Rich Bank 2,Hyundai,Hyundai V6 Models,Mechanical,Bank 2 MAF or injector issue,Check bank 2 MAF and injectors
P0180,Fuel Temperature Sensor Circuit Malfunction,Hyundai,Hyundai Accent/Atos,Electrical,Fuel temp sensor wiring fault,Check fuel temp sensor connector
P0181,Fuel Temperature Sensor Range/Performance,Hyundai,Hyundai Accent/Atos,Electrical,Fuel temp sensor out of range,Replace fuel temperature sensor
P0182,Fuel Temperature Sensor Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,Fuel temp sensor wiring short,Check fuel temp sensor wiring
P0183,Fuel Temperature Sensor Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,Fuel temp sensor wiring open,Check fuel temp sensor wiring harness
P0190,Fuel Rail Pressure Sensor Circuit Malfunction,Hyundai,Hyundai Accent/Atos,Electrical,FRPS sensor fault or wiring issue,Test FRPS voltage
P0191,Fuel Rail Pressure Sensor Range/Performance,Hyundai,Hyundai Accent/Atos,Electrical,FRPS out of range or fuel pressure issue,Check fuel pressure
P0192,Fuel Rail Pressure Sensor Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,FRPS wiring short to ground,Check FRPS wiring for shorts
P0193,Fuel Rail Pressure Sensor Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,FRPS wiring open or short to battery,Check FRPS wiring harness
P0200,Injector Circuit Malfunction,Hyundai,Hyundai Accent/Atos,Electrical,Injector harness or ECM driver fault,Check injector harness connectors
P0201,Injector Circuit Malfunction Cylinder 1,Hyundai,Hyundai Accent/Atos,Electrical,Injector 1 wiring or connector fault,Check injector 1 connector
P0202,Injector Circuit Malfunction Cylinder 2,Hyundai,Hyundai Accent/Atos,Electrical,Injector 2 wiring or connector fault,Check injector 2 connector
P0203,Injector Circuit Malfunction Cylinder 3,Hyundai,Hyundai Accent/Atos,Electrical,Injector 3 wiring or connector fault,Check injector 3 connector
P0204,Injector Circuit Malfunction Cylinder 4,Hyundai,Hyundai Accent/Atos,Electrical,Injector 4 wiring or connector fault,Check injector 4 connector
P0210,Injector Circuit Malfunction Cylinder 10,Hyundai,Hyundai V10 Commercial,Electrical,Injector 10 wiring fault,Check injector 10 connector
P0211,Injector Circuit Malfunction Cylinder 11,Hyundai,Hyundai V10 Commercial,Electrical,Injector 11 wiring fault,Check injector 11 connector
P0212,Injector Circuit Malfunction Cylinder 12,Hyundai,Hyundai V12 Commercial,Electrical,Injector 12 wiring fault,Check injector 12 connector
P0215,Engine Shutoff Solenoid Malfunction,Hyundai,Hyundai Commercial Diesel,Electrical,Shutoff solenoid wiring fault,Check engine shutoff solenoid
P0216,Injector Timing Control Circuit Malfunction,Hyundai,Hyundai Diesel Models,Electrical,Injection timing solenoid fault,Check injection timing control
P0219,Engine Overspeed Condition,Hyundai,Hyundai Commercial,Electrical/ Mechanical,RPM sensor fault or governor issue,Check RPM sensor
P0220,Throttle Position Sensor B Circuit Malfunction,Hyundai,Hyundai Accent/Atos,Electrical,TPS B sensor or wiring fault,Check TPS B connector and wiring
P0221,Throttle Position Sensor B Range/Performance,Hyundai,Hyundai Accent/Atos,Electrical,TPS B out of range,Replace throttle position sensor assembly
P0222,Throttle Position Sensor B Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,TPS B wiring short to ground,Check TPS B wiring for shorts
P0223,Throttle Position Sensor B Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,TPS B wiring open or short to battery,Check TPS B wiring harness
P0230,Fuel Pump Primary Circuit Malfunction,Hyundai,Hyundai Accent/Atos,Electrical,Fuel pump relay or wiring fault,Check fuel pump relay and fuse
P0231,Fuel Pump Secondary Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,Fuel pump control circuit low,Check fuel pump control wiring
P0232,Fuel Pump Secondary Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,Fuel pump control circuit high,Check fuel pump control wiring
P0233,Fuel Pump Secondary Circuit Intermittent,Hyundai,Hyundai Accent/Atos,Electrical,Fuel pump control loose connection,Secure fuel pump control connector
P0234,Engine Overboost Condition,Hyundai,Hyundai Turbo Models,Mechanical,Turbo wastegate stuck closed,Check turbo wastegate operation
P0235,Turbocharger Boost Sensor A Circuit,Hyundai,Hyundai Turbo Models,Electrical,Boost sensor wiring fault,Check turbo boost sensor wiring
P0236,Turbocharger Boost Sensor A Range/Performance,Hyundai,Hyundai Turbo Models,Electrical,Boost sensor out of range,Replace turbo boost sensor
P0237,Turbocharger Boost Sensor A Circuit Low,Hyundai,Hyundai Turbo Models,Electrical,Boost sensor wiring short to ground,Check boost sensor wiring for shorts
P0238,Turbocharger Boost Sensor A Circuit High,Hyundai,Hyundai Turbo Models,Electrical,Boost sensor wiring open or short,Check boost sensor wiring harness
P0239,Turbocharger Boost Sensor B Circuit,Hyundai,Hyundai Twin Turbo Models,Electrical,Boost sensor B wiring fault,Check boost sensor B wiring
P0240,Turbocharger Boost Sensor B Range/Performance,Hyundai,Hyundai Twin Turbo Models,Electrical,Boost sensor B out of range,Replace boost sensor B
P0241,Turbocharger Boost Sensor B Circuit Low,Hyundai,Hyundai Twin Turbo Models,Electrical,Boost sensor B wiring short,Check boost sensor B wiring
P0242,Turbocharger Boost Sensor B Circuit High,Hyundai,Hyundai Twin Turbo Models,Electrical,Boost sensor B wiring open,Check boost sensor B wiring
P0243,Turbocharger Wastegate Solenoid A Malfunction,Hyundai,Hyundai Turbo Models,Electrical,Wastegate solenoid wiring fault,Check wastegate solenoid wiring
P0244,Turbocharger Wastegate Solenoid A Range/Performance,Hyundai,Hyundai Turbo Models,Mechanical,Wastegate solenoid stuck,Test wastegate solenoid operation
P0245,Turbocharger Wastegate Solenoid A Low,Hyundai,Hyundai Turbo Models,Electrical,Wastegate solenoid circuit low,Check wastegate solenoid wiring
P0246,Turbocharger Wastegate Solenoid A High,Hyundai,Hyundai Turbo Models,Electrical,Wastegate solenoid circuit high,Check wastegate solenoid wiring
P0251,Injection Pump Fuel Metering Control A,Hyundai,Hyundai Diesel Models,Electrical,Injection pump control fault,Check injection pump control module
P0252,Injection Pump Fuel Metering Control A Range,Hyundai,Hyundai Diesel Models,Electrical,Injection pump control out of range,Test injection pump control
P0253,Injection Pump Fuel Metering Control A Low,Hyundai,Hyundai Diesel Models,Electrical,Injection pump control circuit low,Check injection pump wiring
P0254,Injection Pump Fuel Metering Control A High,Hyundai,Hyundai Diesel Models,Electrical,Injection pump control circuit high,Check injection pump wiringP0255
P0261,Cylinder 1 Injector Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,Injector 1 control circuit low,Check injector 1 control wiring
P0262,Cylinder 1 Injector Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,Injector 1 control circuit high,Check injector 1 control wiring
P0263,Cylinder 1 Contribution/Balance Fault,Hyundai,Hyundai Accent/Atos,Mechanical,Injector 1 clogged or weak,Test injector 1 flow
P0264,Cylinder 2 Injector Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,Injector 2 control circuit low,Check injector 2 control wiring
P0265,Cylinder 2 Injector Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,Injector 2 control circuit high,Check injector 2 control wiring
P0266,Cylinder 2 Contribution/Balance Fault,Hyundai,Hyundai Accent/Atos,Mechanical,Injector 2 clogged or weak,Test injector 2 flow
P0267,Cylinder 3 Injector Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,Injector 3 control circuit low,Check injector 3 control wiring
P0268,Cylinder 3 Injector Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,Injector 3 control circuit high,Check injector 3 control wiring
P0269,Cylinder 3 Contribution/Balance Fault,Hyundai,Hyundai Accent/Atos,Mechanical,Injector 3 clogged or weak,Test injector 3 flow
P0270,Cylinder 4 Injector Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,Injector 4 control circuit low,Check injector 4 control wiring
P0271,Cylinder 4 Injector Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,Injector 4 control circuit high,Check injector 4 control wiring
P0272,Cylinder 4 Contribution/Balance Fault,Hyundai,Hyundai Accent/Atos,Mechanical,Injector 4 clogged or weak,Test injector 4 flow
P0273,Cylinder 5 Injector Circuit Low,Hyundai,Hyundai V6 Models,Electrical,Injector 5 control circuit low,Check injector 5 control wiring
P0274,Cylinder 5 Injector Circuit High,Hyundai,Hyundai V6 Models,Electrical,Injector 5 control circuit high,Check injector 5 control wiring
P0275,Cylinder 5 Contribution/Balance Fault,Hyundai,Hyundai V6 Models,Mechanical,Injector 5 clogged or weak,Test injector 5 flow
P0276,Cylinder 6 Injector Circuit Low,Hyundai,Hyundai V6 Models,Electrical,Injector 6 control circuit low,Check injector 6 control wiring
P0277,Cylinder 6 Injector Circuit High,Hyundai,Hyundai V6 Models,Electrical,Injector 6 control circuit high,Check injector 6 control wiring
P0278,Cylinder 6 Contribution/Balance Fault,Hyundai,Hyundai V6 Models,Mechanical,Injector 6 clogged or weak,Test injector 6 flow
P0298,Engine Oil Over Temperature,Hyundai,Hyundai All Models,Mechanical,Low oil level or cooling issue,Check oil level
P0299,Turbo/Super Charger Underboost,Hyundai,Hyundai Turbo Models,Mechanical,Turbo leak or wastegate stuck open,Check turbo hoses and wastegate
P0300,Random/Multiple Cylinder Misfire Detected,Hyundai,Hyundai Accent/Atos,Mechanical,Spark plugs,coils
P0301,Cylinder 1 Misfire Detected,Hyundai,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 1,Swap coil to test
P0302,Cylinder 2 Misfire Detected,Hyundai,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 2,Swap coil to test
P0303,Cylinder 3 Misfire Detected,Hyundai,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 3,Swap coil to test
P0304,Cylinder 4 Misfire Detected,Hyundai,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 4,Swap coil to test
P0305,Cylinder 5 Misfire Detected,Hyundai,Hyundai V6 Models,Mechanical,Faulty spark plug or coil cylinder 5,Swap coil to test cylinder 5
P0306,Cylinder 6 Misfire Detected,Hyundai,Hyundai V6 Models,Mechanical,Faulty spark plug or coil cylinder 6,Swap coil to test cylinder 6
P0320,Ignition Engine Speed Input Circuit,Hyundai,Hyundai Accent/Atos,Electrical,Crank/cam sensor wiring fault,Check crank/cam sensor wiring
P0325,Knock Sensor Circuit Malfunction,Hyundai,Hyundai Accent/Atos,Electrical,Knock sensor faulty or wiring,Replace knock sensor
P0326,Knock Sensor Circuit Range/Performance,Hyundai,Hyundai Accent/Atos,Electrical,Knock sensor out of range,Replace knock sensor
P0327,Knock Sensor Circuit Low Input,Hyundai,Hyundai Accent/Atos,Electrical,Knock sensor wiring short to ground,Check knock sensor wiring
P0328,Knock Sensor Circuit High Input,Hyundai,Hyundai Accent/Atos,Electrical,Knock sensor wiring open or short,Check knock sensor wiring
P0335,Crankshaft Position Sensor A Circuit,Hyundai,Hyundai Accent/Atos,Electrical,CKP sensor faulty or wiring,Replace CKP sensor
P0336,Crankshaft Position Sensor A Range/Performance,Hyundai,Hyundai Accent/Atos,Electrical,CKP sensor out of range or reluctor damage,Replace CKP sensor
P0337,Crankshaft Position Sensor A Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,CKP wiring short to ground,Check CKP wiring for shorts
P0338,Crankshaft Position Sensor A Circuit High,Hyundai,Hyundai Accent/Atos,Electrical,CKP wiring open or short to battery,Check CKP wiring harness
P0340,Camshaft Position Sensor Circuit,Hyundai,Hyundai Accent/Atos,Electrical,CMP sensor faulty or wiring,Replace CMP sensor
P0341,Camshaft Position Sensor Range/Performance,Hyundai,Hyundai Accent/Atos,Electrical,CMP sensor out of range or timing issue,Replace CMP sensor
P0342,Camshaft Position Sensor Circuit Low,Hyundai,Hyundai Accent/Atos,Electrical,CMP wiring short to ground,Check CMP wiring for shorts
