code,description,car_type,category,common_cause,fix_tip
P0201,Injector Circuit Cylinder 1,Toyota All Models,Electrical,Injector wiring issue,Check injector 1 connector
P0202,Injector Circuit Cylinder 2,Toyota All Models,Electrical,Injector wiring issue,Check injector 2 connector
P0203,Injector Circuit Cylinder 3,Toyota All Models,Electrical,Injector wiring issue,Check injector 3 connector
P0204,Injector Circuit Cylinder 4,Toyota All Models,Electrical,Injector wiring issue,Check injector 4 connector
P0205,Injector Circuit Cylinder 5,Toyota Land Cruiser V8,Electrical,Injector 5 wiring issue,Check injector 5 connector
P0206,Injector Circuit Cylinder 6,Toyota Land Cruiser V8,Electrical,Injector 6 wiring issue,Check injector 6 connector
P0300,Random Misfire Detected,Toyota All Models,Mechanical,Plugs,coils,vacuum leak,Replace plugs,check coils
P0301,Cylinder 1 Misfire,Toyota All Models,Mechanical,Faulty plug or coil cylinder 1,Swap coil,replace plug
P0302,Cylinder 2 Misfire,Toyota All Models,Mechanical,Faulty plug or coil cylinder 2,Swap coil,replace plug
P0303,Cylinder 3 Misfire,Toyota All Models,Mechanical,Faulty plug or coil cylinder 3,Swap coil,replace plug
P0304,Cylinder 4 Misfire,Toyota All Models,Mechanical,Faulty plug or coil cylinder 4,Swap coil,replace plug
P0325,Knock Sensor Circuit,Toyota All Models,Electrical,Knock sensor faulty,Replace knock sensor
P0335,Crankshaft Position Sensor,Toyota All Models,Electrical,CKP sensor faulty,Replace CKP sensor
P0340,Camshaft Position Sensor,Toyota All Models,Electrical,CMP sensor faulty,Replace CMP sensor
P0420,Catalyst Efficiency Below Threshold,Toyota All Models,Mechanical,Worn catalytic converter,Replace catalytic converter
P0442,EVAP Small Leak,Toyota All Models,Mechanical,Loose fuel cap,Tighten or replace fuel cap
P0455,EVAP Large Leak,Toyota All Models,Mechanical,Missing cap or EVAP hose leak,Replace cap,smoke test EVAP
P0500,Vehicle Speed Sensor,Toyota All Models,Electrical,VSS sensor faulty,Replace VSS sensor
P0562,System Voltage Low,Toyota All Models,Electrical,Weak battery or alternator,Test battery and alternator
P0563,System Voltage High,Toyota All Models,Electrical,Faulty voltage regulator,Replace alternator regulator
P0087,Fuel Rail Pressure Too Low,Sokon Utility Diesel,Mechanical,Weak lift pump or clogged filter,Replace fuel filter,check lift pump
P0088,Fuel Rail Pressure Too High,Sokon Utility Diesel,Mechanical,Faulty pressure regulator,Replace fuel pressure regulator
P0101,MAF Sensor Range/Performance,Sokon Utility Diesel,Electrical,Dirty MAF or intake leak,Clean MAF,check intake hoses
P0102,MAF Circuit Low Input,Sokon Utility Diesel,Electrical,MAF wiring issue,Check MAF connector
P0103,MAF Circuit High Input,Sokon Utility Diesel,Electrical,MAF sensor faulty,Replace MAF sensor
P0117,ECT Sensor Circuit Low,Sokon Utility Diesel,Electrical,ECT sensor shorted,Replace ECT sensor
P0118,ECT Sensor Circuit High,Sokon Utility Diesel,Electrical,ECT sensor open,Replace ECT sensor
P0192,Fuel Rail Pressure Sensor Low,Sokon Utility Diesel,Electrical,FRPS wiring short,Check FRPS wiring
P0193,Fuel Rail Pressure Sensor High,Sokon Utility Diesel,Electrical,FRPS wiring open,Replace FRPS sensor
P0201,Injector Circuit Cylinder 1,Sokon Utility Diesel,Electrical,Injector 1 wiring issue,Check injector 1 connector
P0202,Injector Circuit Cylinder 2,Sokon Utility Diesel,Electrical,Injector 2 wiring issue,Check injector 2 connector
P0203,Injector Circuit Cylinder 3,Sokon Utility Diesel,Electrical,Injector 3 wiring issue,Check injector 3 connector
P0204,Injector Circuit Cylinder 4,Sokon Utility Diesel,Electrical,Injector 4 wiring issue,Check injector 4 connector
P0205,Injector Circuit Cylinder 5,Sokon Utility Diesel 6-cyl,Electrical,Injector 5 wiring issue,Check injector 5 connector
P0206,Injector Circuit Cylinder 6,Sokon Utility Diesel 6-cyl,Electrical,Injector 6 wiring issue,Check injector 6 connector
P0234,Engine Overboost Condition,Sokon Utility Diesel,Mechanical,Turbo wastegate stuck closed,Check turbo wastegate operation
P0237,Turbo Boost Sensor A Low,Sokon Utility Diesel,Electrical,Boost sensor wiring short,Check boost sensor wiring
P0238,Turbo Boost Sensor A High,Sokon Utility Diesel,Electrical,Boost sensor wiring open,Replace boost sensor
P0299,Turbo Underboost,Sokon Utility Diesel,Mechanical,Turbo leak or wastegate stuck open,Check turbo hoses,wastegateP0380,Glow Plug Circuit A,Sokon Utility Diesel,Electrical,Glow plug relay or wiring fault,Test glow plug relay
P0381,Glow Plug Indicator Circuit,Sokon Utility Diesel,Electrical,Glow plug indicator bulb or wiring,Replace indicator bulb
P0382,Glow Plug Circuit B,Sokon Utility Diesel,Electrical,Glow plug circuit fault,Test glow plugs resistance
P0401,EGR Flow Insufficient,Sokon Utility Diesel,Mechanical,Clogged EGR valve or passages,Clean EGR valve and passages
P0402,EGR Flow Excessive,Sokon Utility Diesel,Mechanical,EGR valve stuck open,Replace or clean EGR valve
P0403,EGR Control Circuit,Sokon Utility Diesel,Electrical,EGR solenoid wiring issue,Check EGR solenoid wiring
P0470,Exhaust Pressure Sensor,DPF Sokon Diesel,Electrical,DPF pressure sensor faulty,Replace DPF pressure sensor
P0471,Exhaust Pressure Sensor Range,DPF Sokon Diesel,Electrical,DPF sensor wiring issue,Check DPF sensor wiring
P0480,Cooling Fan 1 Control,Sokon Utility,Electrical,Fan relay or wiring fault,Test fan relay and wiring
P0481,Cooling Fan 2 Control,Sokon Utility,Electrical,Fan 2 relay or wiring fault,Test fan 2 relay and wiring
P0500,Vehicle Speed Sensor,Sokon Utility,Electrical,VSS sensor faulty,Replace VSS sensor
P0522,Engine Oil Pressure Low,Sokon Utility,Electrical,Oil pressure sensor or wiring,Check oil level,sensor wiring
P0523,Engine Oil Pressure High,Sokon Utility,Electrical,Oil pressure sensor faulty,Replace oil pressure sensor
P0562,System Voltage Low,Sokon Utility,Electrical,Weak battery or alternator,Test battery and alternator
P0563,System Voltage High,Sokon Utility,Electrical,Faulty voltage regulator,Replace alternator regulator
P0087,Fuel Rail Pressure Too Low,DFAC Commercial Diesel,Mechanical,Weak lift pump or clogged filter,Replace fuel filter,check pump
P0088,Fuel Rail Pressure Too High,DFAC Commercial Diesel,Mechanical,Faulty pressure regulator,Replace fuel pressure regulator
P0101,MAF Sensor Range/Performance,DFAC Commercial Diesel,Electrical,Dirty MAF or intake leak,Clean MAF,check intake
P0102,MAF Circuit Low Input,DFAC Commercial Diesel,Electrical,MAF wiring issue,Check MAF connector
P0103,MAF Circuit High Input,DFAC Commercial Diesel,Electrical,MAF sensor faulty,Replace MAF sensor
P0117,ECT Sensor Circuit Low,DFAC Commercial Diesel,Electrical,ECT sensor shorted,Replace ECT sensor
P0118,ECT Sensor Circuit High,DFAC Commercial Diesel,Electrical,ECT sensor open,Replace ECT sensor
P0192,Fuel Rail Pressure Sensor Low,DFAC Commercial Diesel,Electrical,FRPS wiring short,Check FRPS wiring
P0193,Fuel Rail Pressure Sensor High,DFAC Commercial Diesel,Electrical,FRPS wiring open,Replace FRPS sensor
P0201,Injector Circuit Cylinder 1,DFAC Commercial Diesel,Electrical,Injector 1 wiring issue,Check injector 1 connector
P0202,Injector Circuit Cylinder 2,DFAC Commercial Diesel,Electrical,Injector 2 wiring issue,Check injector 2 connector
P0203,Injector Circuit Cylinder 3,DFAC Commercial Diesel,Electrical,Injector 3 wiring issue,Check injector 3 connector
P0204,Injector Circuit Cylinder 4,DFAC Commercial Diesel,Electrical,Injector 4 wiring issue,Check injector 4 connector
P0205,Injector Circuit Cylinder 5,DFAC Commercial Diesel 6-cyl,Electrical,Injector 5 wiring issue,Check injector 5 connector
P0206,Injector Circuit Cylinder 6,DFAC Commercial Diesel 6-cyl,Electrical,Injector 6 wiring issue,Check injector 6 connector
P0234,Engine Overboost,DFAC Commercial Diesel,Mechanical,Turbo wastegate stuck,Check turbo wastegate
P0237,Turbo Boost Sensor Low,DFAC Commercial Diesel,Electrical,Boost sensor wiring short,Check boost sensor wiring
P0238,Turbo Boost Sensor High,DFAC Commercial Diesel,Electrical,Boost sensor wiring open,Replace boost sensor
P0299,Turbo Underboost,DFAC Commercial Diesel,Mechanical,Turbo leak or wastegate open,Check turbo hoses,wastegate
P0380,Glow Plug Circuit A,DFAC Commercial Diesel,Electrical,Glow plug relay fault,Test glow plug relay
P0381,Glow Plug Indicator,DFAC Commercial Diesel,Electrical,Indicator bulb or wiring,Replace indicator bulb
P0382,Glow Plug Circuit B,DFAC Commercial Diesel,Electrical,Glow plug circuit fault,Test glow plugs resistance
P0401,EGR Flow Insufficient,DFAC Commercial Diesel,Mechanical,Clogged EGR valve,Clean EGR valve and passages
P0402,EGR Flow Excessive,DFAC Commercial Diesel,Mechanical,EGR valve stuck open,Replace EGR valve
P0403,EGR Control Circuit,DFAC Commercial Diesel,Electrical,EGR solenoid wiring,Check EGR solenoid wiring
P0470,Exhaust Pressure Sensor,DPF DFAC Diesel,Electrical,DPF pressure sensor faulty,Replace DPF pressure sensor
P0471,Exhaust Pressure Sensor Range,DPF DFAC Diesel,Electrical,DPF sensor wiring,Check DPF sensor wiring
P0480,Cooling Fan 1 Control,DFAC Commercial,Electrical,Fan relay or wiring,Test fan relay and wiring
P0481,Cooling Fan 2 Control,DFAC Commercial,Electrical,Fan 2 relay or wiring,Test fan 2 relay
P0500,Vehicle Speed Sensor,DFAC Commercial,Electrical,VSS sensor faulty,Replace VSS sensor
P0522,Engine Oil Pressure Low,DFAC Commercial,Electrical,Oil pressure sensor,Check oil level,sensor
P0523,Engine Oil Pressure High,DFAC Commercial,Electrical,Oil pressure sensor faulty,Replace oil pressure sensor
P0562,System Voltage Low,DFAC Commercial,Electrical,Weak battery or alternator,Test battery and alternator
P0563,System Voltage High,DFAC Commercial,Electrical,Faulty voltage regulator,Replace alternator regulator
