code,description,car_type,category,common_cause,fix_tip
P0181,Fuel Temperature Sensor Range/Performance,Hyundai Accent/Atos,Electrical,Fuel temp sensor out of range,Replace fuel temp sensor
P0182,Fuel Temperature Sensor Circuit Low,Hyundai Accent/Atos,Electrical,Fuel temp sensor short,Check fuel temp wiring
P0183,Fuel Temperature Sensor Circuit High,Hyundai Accent/Atos,Electrical,Fuel temp sensor open,Check fuel temp wiring
P0190,Fuel Rail Pressure Sensor Circuit,Hyundai Accent/Atos,Electrical,FRPS sensor fault,Test FRPS voltage
P0191,Fuel Rail Pressure Sensor Range/Performance,Hyundai Accent/Atos,Electrical,FRPS out of range,Check fuel pressure
P0192,Fuel Rail Pressure Sensor Circuit Low,Hyundai Accent/Atos,Electrical,FRPS wiring short,Check FRPS wiring
P0193,Fuel Rail Pressure Sensor Circuit High,Hyundai Accent/Atos,Electrical,FRPS wiring open,Replace FRPS sensor
P0200,Injector Circuit Malfunction,Hyundai Accent/Atos,Electrical,Injector harness fault,Check injector harness
P0201,Injector Circuit Cylinder 1,Hyundai Accent/Atos,Electrical,Injector 1 wiring fault,Check injector 1 connector
P0202,Injector Circuit Cylinder 2,Hyundai Accent/Atos,Electrical,Injector 2 wiring fault,Check injector 2 connector
P0203,Injector Circuit Cylinder 3,Hyundai Accent/Atos,Electrical,Injector 3 wiring fault,Check injector 3 connector
P0204,Injector Circuit Cylinder 4,Hyundai Accent/Atos,Electrical,Injector 4 wiring fault,Check injector 4 connector
P0219,Engine Overspeed Condition,Hyundai Commercial,Electrical/Mechanical,RPM sensor or governor issue,Check RPM sensor
P0220,Throttle Position Sensor B Circuit,Hyundai Accent/Atos,Electrical,TPS B sensor fault,Check TPS B connector
P0221,Throttle Position Sensor B Range/Performance,Hyundai Accent/Atos,Electrical,TPS B out of range,Replace TPS assembly
P0222,Throttle Position Sensor B Circuit Low,Hyundai Accent/Atos,Electrical,TPS B wiring short,Check TPS B wiring
P0223,Throttle Position Sensor B Circuit High,Hyundai Accent/Atos,Electrical,TPS B wiring open,Check TPS B wiring
P0230,Fuel Pump Primary Circuit,Hyundai Accent/Atos,Electrical,Fuel pump relay fault,Check fuel pump relay
P0231,Fuel Pump Secondary Circuit Low,Hyundai Accent/Atos,Electrical,Fuel pump control low,Check fuel pump control
P0232,Fuel Pump Secondary Circuit High,Hyundai Accent/Atos,Electrical,Fuel pump control high,Check fuel pump control
P0233,Fuel Pump Secondary Circuit Intermittent,Hyundai Accent/Atos,Electrical,Fuel pump control loose,Secure fuel pump connector
P0234,Engine Overboost Condition,Hyundai Turbo Models,Mechanical,Turbo wastegate stuck,Check turbo wastegate
P0235,Turbocharger Boost Sensor A Circuit,Hyundai Turbo Models,Electrical,Boost sensor wiring fault,Check boost sensor wiring
P0236,Turbocharger Boost Sensor A Range/Performance,Hyundai Turbo Models,Electrical,Boost sensor out of range,Replace boost sensor
P0237,Turbocharger Boost Sensor A Circuit Low,Hyundai Turbo Models,Electrical,Boost sensor wiring short,Check boost sensor wiring
P0238,Turbocharger Boost Sensor A Circuit High,Hyundai Turbo Models,Electrical,Boost sensor wiring open,Check boost sensor wiring
P0251,Injection Pump Fuel Metering Control A,Hyundai Diesel Models,Electrical,Injection pump control fault,Check injection pump controlP0252,Injection Pump Fuel Metering Control A Range,Hyundai Diesel Models,Electrical,Injection pump control out of range,Test injection pump control
P0261,Cylinder 1 Injector Circuit Low,Hyundai Accent/Atos,Electrical,Injector 1 control low,Check injector 1 wiring
P0262,Cylinder 1 Injector Circuit High,Hyundai Accent/Atos,Electrical,Injector 1 control high,Check injector 1 wiring
P0263,Cylinder 1 Contribution/Balance Fault,Hyundai Accent/Atos,Mechanical,Injector 1 clogged or weak,Test injector 1 flow
P0264,Cylinder 2 Injector Circuit Low,Hyundai Accent/Atos,Electrical,Injector 2 control low,Check injector 2 wiring
P0265,Cylinder 2 Injector Circuit High,Hyundai Accent/Atos,Electrical,Injector 2 control high,Check injector 2 wiring
P0266,Cylinder 2 Contribution/Balance Fault,Hyundai Accent/Atos,Mechanical,Injector 2 clogged or weak,Test injector 2 flow
P0267,Cylinder 3 Injector Circuit Low,Hyundai Accent/Atos,Electrical,Injector 3 control low,Check injector 3 wiring
P0268,Cylinder 3 Injector Circuit High,Hyundai Accent/Atos,Electrical,Injector 3 control high,Check injector 3 wiring
P0269,Cylinder 3 Contribution/Balance Fault,Hyundai Accent/Atos,Mechanical,Injector 3 clogged or weak,Test injector 3 flow
P0270,Cylinder 4 Injector Circuit Low,Hyundai Accent/Atos,Electrical,Injector 4 control low,Check injector 4 wiring
P0271,Cylinder 4 Injector Circuit High,Hyundai Accent/Atos,Electrical,Injector 4 control high,Check injector 4 wiring
P0272,Cylinder 4 Contribution/Balance Fault,Hyundai Accent/Atos,Mechanical,Injector 4 clogged or weak,Test injector 4 flow
P0298,Engine Oil Over Temperature,Hyundai All Models,Mechanical,Low oil level or cooling issue,Check oil level
P0299,Turbo/Super Charger Underboost,Hyundai Turbo Models,Mechanical,Turbo leak or wastegate open,Check turbo hoses
P0300,Random/Multiple Cylinder Misfire,Hyundai Accent/Atos,Mechanical,Plugs,coils,vacuum leak,Replace plugs,check coils
P0301,Cylinder 1 Misfire Detected,Hyundai Accent/Atos,Mechanical,Faulty plug or coil cylinder 1,Swap coil,replace plug
P0302,Cylinder 2 Misfire Detected,Hyundai Accent/Atos,Mechanical,Faulty plug or coil cylinder 2,Swap coil,replace plug
P0303,Cylinder 3 Misfire Detected,Hyundai Accent/Atos,Mechanical,Faulty plug or coil cylinder 3,Swap coil,replace plug
P0304,Cylinder 4 Misfire Detected,Hyundai Accent/Atos,Mechanical,Faulty plug or coil cylinder 4,Swap coil,replace plug
P0325,Knock Sensor Circuit Malfunction,Hyundai Accent/Atos,Electrical,Knock sensor faulty,Replace knock sensor
P0326,Knock Sensor Circuit Range/Performance,Hyundai Accent/Atos,Electrical,Knock sensor out of range,Replace knock sensor
P0327,Knock Sensor Circuit Low Input,Hyundai Accent/Atos,Electrical,Knock sensor wiring short,Check knock sensor wiring
P0328,Knock Sensor Circuit High Input,Hyundai Accent/Atos,Electrical,Knock sensor wiring open,Check knock sensor wiring
P0335,Crankshaft Position Sensor A Circuit,Hyundai Accent/Atos,Electrical,CKP sensor faulty,Replace CKP sensor
P0336,Crankshaft Position Sensor A Range/Performance,Hyundai Accent/Atos,Electrical,CKP sensor out of range,Replace CKP sensor
P0337,Crankshaft Position Sensor A Circuit Low,Hyundai Accent/Atos,Electrical,CKP wiring short,Check CKP wiring
P0338,Crankshaft Position Sensor A Circuit High,Hyundai Accent/Atos,Electrical,CKP wiring open,Check CKP wiring
P0340,Camshaft Position Sensor Circuit,Hyundai Accent/Atos,Electrical,CMP sensor faulty,Replace CMP sensor
P0341,Camshaft Position Sensor Range/Performance,Hyundai Accent/Atos,Electrical,CMP sensor out of range,Replace CMP sensor
P0342,Camshaft Position Sensor Circuit Low,Hyundai Accent/Atos,Electrical,CMP wiring short,Check CMP wiring
P0343,Camshaft Position Sensor Circuit High,Hyundai Accent/Atos,Electrical,CMP wiring open,Check CMP wiring
P0350,Ignition Coil Primary/Secondary Circuit,Hyundai Accent/Atos,Electrical,Ignition coil circuit fault,Test ignition coil
P0351,Ignition Coil A Primary/Secondary Circuit,Hyundai Accent/Atos,Electrical,Coil A circuit fault,Replace ignition coil A
P0352,Ignition Coil B Primary/Secondary Circuit,Hyundai Accent/Atos,Electrical,Coil B circuit fault,Replace ignition coil B
P0400,EGR Flow Malfunction,Dacia Logan/Sandero,Mechanical,EGR valve stuck or clogged,Clean EGR valve
P0401,EGR Flow Insufficient Detected,Dacia Logan/Sandero,Mechanical,EGR valve stuck closed,Clean EGR valve
P0402,EGR Flow Excessive Detected,Dacia Logan/Sandero,Mechanical,EGR valve stuck open,Replace EGR valve
P0403,EGR Control Circuit Malfunction,Dacia Logan/Sandero,Electrical,EGR solenoid wiring fault,Check EGR solenoid wiring
P0404,EGR Control Circuit Range/Performance,Dacia Logan/Sandero,Electrical,EGR solenoid out of range,Test EGR solenoid
P0405,EGR Sensor A Circuit Low,Dacia Logan/Sandero,Electrical,EGR position sensor short,Check EGR sensor wiring
P0406,EGR Sensor A Circuit High,Dacia Logan/Sandero,Electrical,EGR position sensor open,Check EGR sensor wiring
P0420,Catalyst System Efficiency Below Threshold,Dacia Logan/Sandero,Mechanical,Worn catalytic converter,Replace catalytic converter
P0440,EVAP Control System Malfunction,Dacia Logan/Sandero,Mechanical,EVAP leak or purge valve fault,Smoke test EVAP
P0441,EVAP System Incorrect Purge Flow,Dacia Logan/Sandero,Mechanical,Purge valve stuck,Check purge valve
P0442,EVAP System Small Leak Detected,Dacia Logan/Sandero,Mechanical,Loose fuel cap,Tighten fuel cap
P0443,EVAP Purge Control Valve Circuit,Dacia Logan/Sandero,Electrical,Purge valve wiring fault,Check purge valve wiring
P0444,EVAP Purge Control Valve Circuit Open,Dacia Logan/Sandero,Electrical,Purge valve wiring open,Check purge valve wiring
P0445,EVAP Purge Control Valve Circuit Shorted,Dacia Logan/Sandero,Electrical,Purge valve wiring shorted,Check purge valve wiring
P0446,EVAP Vent Control Circuit Malfunction,Dacia Logan/Sandero,Electrical,Vent valve wiring fault,Check vent valve wiringP0447,EVAP Vent Control Circuit Open,Dacia Logan/Sandero,Electrical,Vent valve wiring open,Check vent valve wiring
P0448,EVAP Vent Control Circuit Shorted,Dacia Logan/Sandero,Electrical,Vent valve wiring shorted,Check vent valve wiring
P0450,EVAP Pressure Sensor Malfunction,Dacia Logan/Sandero,Electrical,EVAP pressure sensor fault,Replace EVAP pressure sensor
P0451,EVAP Pressure Sensor Range/Performance,Dacia Logan/Sandero,Electrical,EVAP pressure sensor out of range,Replace EVAP pressure sensor
P0452,EVAP Pressure Sensor Circuit Low,Dacia Logan/Sandero,Electrical,EVAP pressure sensor short,Check EVAP pressure sensor wiring
P0453,EVAP Pressure Sensor Circuit High,Dacia Logan/Sandero,Electrical,EVAP pressure sensor open,Check EVAP pressure sensor wiring
P0455,EVAP System Large Leak Detected,Dacia Logan/Sandero,Mechanical,Missing fuel cap,Replace fuel cap
P0456,EVAP System Very Small Leak Detected,Dacia Logan/Sandero,Mechanical,Tiny EVAP leak,Smoke test EVAP
P0460,Fuel Level Sensor A Circuit Malfunction,Dacia Logan/Sandero,Electrical,Fuel level sensor wiring,Check fuel level sensor
P0461,Fuel Level Sensor A Range/Performance,Dacia Logan/Sandero,Electrical,Fuel level sensor out of range,Replace fuel sender
P0462,Fuel Level Sensor A Circuit Low,Dacia Logan/Sandero,Electrical,Fuel level sensor short,Check fuel level wiring
P0463,Fuel Level Sensor A Circuit High,Dacia Logan/Sandero,Electrical,Fuel level sensor open,Check fuel level wiring
P0470,Exhaust Pressure Sensor Malfunction,Dacia Diesel Models,Electrical,Exhaust pressure sensor fault,Replace exhaust pressure sensor
P0471,Exhaust Pressure Sensor Range/Performance,Dacia Diesel Models,Electrical,Exhaust pressure sensor out of range,Replace exhaust pressure sensor
P0472,Exhaust Pressure Sensor Circuit Low,Dacia Diesel Models,Electrical,Exhaust pressure sensor short,Check exhaust pressure wiring
P0473,Exhaust Pressure Sensor Circuit High,Dacia Diesel Models,Electrical,Exhaust pressure sensor open,Check exhaust pressure wiring
